date, pm25, pm10, o3, no2, so2
2020/10/23, 3, 5, 24, 7, 
2020/10/24, 1, 8, 13, 10, 
2020/10/26, 2, 3, 24, 7, 
2020/10/27, 1, 4, 21, 8, 
2020/10/28, 1, 4, 22, 7, 
2020/10/29, 1, 3, 24, 5, 
2020/10/30, 1, 6, 20, 8, 
2020/10/31, 2, 14, 4, 13, 
2020/11/1, 4, 13, 4, 12, 
2020/9/1, 1, 7, 36, 7, 
2020/9/2, 1, 11, 39, 11, 
2020/9/3, 2, 14, 39, 12, 
2020/9/4, 2, 12, 47, 7, 
2020/9/5, 2, 7, 23, 3, 
2020/9/6, 1, 8, 34, 5, 
2020/9/7, 1, 12, 33, 11, 
2020/9/8, 2, 17, 40, 13, 
2020/9/9, 3, 17, 49, 11, 
2020/9/10, 2, 18, 41, 8, 
2020/9/11, 2, 20, 45, 12, 
2020/9/12, 3, 17, 40, 10, 
2020/9/13, 3, 22, 43, 14, 
2020/9/14, 4, 22, 46, 12, 
2020/9/15, 3, 26, 39, 14, 
2020/9/16, 3, 24, 55, 9, 
2020/9/17, 3, 24, 30, 6, 
2020/9/18, 3, 24, 34, 6, 
2020/9/19, 3, 22, 41, 6, 
2020/9/20, 3, 14, 42, 7, 
2020/9/21, 2, 13, 31, 7, 
2020/9/22, 2, 6, 29, 5, 
2020/9/23, 1, 5, 29, 4, 
2020/9/24, 1, 3, 27, 4, 
2020/9/25, 1, 3, 22, 2, 
2020/9/26, 1, 2, 22, 3, 
2020/9/27, 1, 5, 20, 6, 
2020/9/28, 1, 4, 18, 6, 
2020/9/29, 1, 12, 15, 11, 
2020/9/30, 3, 12, 19, 8, 
2020/8/1, 2, 8, 41, 2, 
2020/8/2, 1, 7, 25, 5, 
2020/8/3, 1, 6, 25, 7, 
2020/8/4, 1, 8, 36, 4, 
2020/8/5, 1, 11, 39, 7, 
2020/8/6, 2, 14, 47, 8, 
2020/8/7, 2, 17, 52, 7, 
2020/8/8, 2, 17, 53, 6, 
2020/8/9, 2, 19, 59, 8, 
2020/8/10, 2, 14, 54, 4, 
2020/8/11, 1, 19, 61, 7, 
2020/8/12, 2, 15, 36, 5, 
2020/8/13, 1, 7, 37, 3, 
2020/8/14, 1, 9, 45, 5, 
2020/8/15, 1, 10, 45, 6, 
2020/8/16, 2, 4, 40, 3, 
2020/8/17, 1, 5, 31, 4, 
2020/8/18, 1, 6, 38, 5, 
2020/8/19, 1, 10, 44, 7, 
2020/8/20, 2, 16, 44, 9, 
2020/8/21, 3, 8, 25, 5, 
2020/8/22, 2, 6, 31, 4, 
2020/8/23, 1, 7, 33, 6, 
2020/8/24, 1, 10, 36, 9, 
2020/8/25, 1, 10, 31, 3, 
2020/8/26, 1, 15, 38, 10, 
2020/8/27, 2, 9, 25, 7, 
2020/8/28, 1, 3, 23, 4, 
2020/8/29, 1, 3, 36, 4, 
2020/8/30, 1, 5, 27, 8, 
2020/8/31, 1, 4, 28, 6, 
2020/7/1, 1, 6, 23, 3, 
2020/7/2, 1, 9, 25, 4, 
2020/7/3, 1, 10, 38, 5, 
2020/7/4, 1, 8, 26, 3, 
2020/7/5, 1, 10, 28, 3, 
2020/7/6, 1, 11, 38, 5, 
2020/7/7, 1, 11, 39, 6, 
2020/7/8, 1, 13, 34, 6, 
2020/7/9, 1, 16, 41, 5, 
2020/7/10, 1, 6, 28, 2, 
2020/7/11, 1, 7, 41, 3, 
2020/7/12, 1, 8, 45, 4, 
2020/7/13, 1, 14, 55, 8, 
2020/7/14, 1, 14, 32, 8, 
2020/7/15, 1, 5, 25, 3, 
2020/7/16, 1, 5, 21, 6, 
2020/7/17, 1, 8, 16, 8, 
2020/7/18, 2, , , , 
2020/7/20, 1, 17, 44, 7, 
2020/7/21, 2, 18, 48, 6, 
2020/7/22, 2, 16, 55, 4, 
2020/7/23, 1, 13, 37, 8, 
2020/7/24, 1, 11, 36, 6, 
2020/7/25, 2, 9, 29, 3, 
2020/7/26, 1, 8, 38, 5, 
2020/7/27, 1, 14, 40, 5, 
2020/7/28, 1, 14, 44, 4, 
2020/7/29, 1, 17, 69, 7, 
2020/7/30, 2, 23, 60, 9, 
2020/7/31, 2, 22, 53, 4, 
2020/6/1, 1, 15, 46, 6, 
2020/6/2, 1, 15, 48, 6, 
2020/6/3, 1, 5, 37, 3, 
2020/6/4, 1, 6, 30, 3, 
2020/6/5, 1, 3, 18, 2, 
2020/6/6, 1, 2, 28, 2, 
2020/6/7, 1, 7, 35, 4, 
2020/6/8, 1, 9, 22, 7, 
2020/6/9, 1, 9, 24, 6, 
2020/6/10, 1, 7, 36, 5, 
2020/6/11, 1, 9, 38, 7, 
2020/6/12, 1, 7, 37, 3, 
2020/6/13, 1, 4, 28, 1, 
2020/6/14, 1, 7, 28, 5, 
2020/6/15, 1, 6, 33, 3, 
2020/6/16, 1, 6, 28, 5, 
2020/6/17, 1, 6, 32, 6, 
2020/6/18, 1, 4, 25, 5, 
2020/6/19, 1, 5, 32, 5, 
2020/6/20, 1, 6, 35, 4, 
2020/6/21, 1, 9, 34, 6, 
2020/6/22, 1, 10, 45, 4, 
2020/6/23, 1, 13, 53, 4, 
2020/6/24, 1, 15, 59, 5, 
2020/6/25, 1, 18, 42, 8, 
2020/6/26, 2, 11, 39, 4, 
2020/6/27, 1, 8, 25, 3, 
2020/6/28, 1, 3, 24, 3, 
2020/6/29, 1, 9, 36, 5, 
2020/6/30, 1, 9, 36, 4, 
2020/5/1, 1, 3, 26, 2, 
2020/5/2, 1, 4, 36, 3, 
2020/5/3, 1, 6, 33, 4, 
2020/5/4, 1, 8, 24, 7, 
2020/5/5, 1, 11, 41, 5, 
2020/5/6, 1, 12, 46, 10, 
2020/5/7, 2, 16, 45, 10, 
2020/5/8, 2, 15, 46, 5, 
2020/5/9, 2, 8, 43, 2, 
2020/5/10, 1, 9, 22, 7, 
2020/5/11, 1, 5, 26, 3, 
2020/5/12, 1, 13, 13, 9, 
2020/5/13, 2, 10, 27, 5, 
2020/5/14, 1, 15, 29, 5, 
2020/5/15, 2, 14, 39, 6, 
2020/5/16, 2, 12, 50, 6, 
2020/5/17, 2, 13, 57, 6, 
2020/5/18, 2, 12, 48, 5, 
2020/5/19, 1, 10, 40, 4, 
2020/5/20, 1, 10, 44, 4, 
2020/5/21, 1, 15, 42, 7, 
2020/5/22, 2, 10, 29, 4, 
2020/5/23, 1, 5, 34, 2, 
2020/5/24, 1, 7, 34, 4, 
2020/5/25, 1, 9, 41, 4, 
2020/5/26, 1, 9, 41, 5, 
2020/5/27, 1, 13, 46, 9, 
2020/5/28, 1, 8, 40, 2, 
2020/5/29, 1, 8, 39, 3, 
2020/5/30, 1, 8, 40, 2, 
2020/5/31, 1, 7, 45, 2, 
2020/4/1, 2, 23, 39, 17, 
2020/4/2, 4, 21, 41, 9, 
2020/4/3, 2, 16, 44, 6, 
2020/4/4, 2, 18, 40, 7, 
2020/4/5, 2, 21, 47, 10, 
2020/4/6, 2, 23, 51, 13, 
2020/4/7, 2, 21, 52, 10, 
2020/4/8, 2, 23, 53, 10, 
2020/4/9, 2, 22, 54, 7, 
2020/4/10, 2, 19, 52, 7, 
2020/4/11, 2, 18, 46, 6, 
2020/4/12, 2, 14, 45, 3, 
2020/4/13, 2, 13, 35, 3, 
2020/4/14, 1, 17, 37, 8, 
2020/4/15, 2, 22, 47, 12, 
2020/4/16, 2, 25, 47, 8, 
2020/4/17, 2, 22, 40, 4, 
2020/4/18, 1, 8, 38, 2, 
2020/4/19, 1, 18, 36, 3, 
2020/4/20, 2, 20, 39, 4, 
2020/4/21, 1, 20, 44, 5, 
2020/4/22, 1, 22, 50, 7, 
2020/4/23, 1, 22, 51, 9, 
2020/4/24, 2, 16, 50, 6, 
2020/4/25, 2, 14, 46, 3, 
2020/4/26, 1, 9, 40, 4, 
2020/4/27, 1, 5, 30, 3, 
2020/4/28, 1, 3, 32, 3, 
2020/4/29, 1, 3, 27, 4, 
2020/4/30, 1, 4, 31, 3, 
2020/3/2, 1, 5, 24, 12, 
2020/3/3, 1, 5, 21, 15, 
2020/3/4, 2, 5, 28, 11, 
2020/3/5, 1, 4, 29, 12, 
2020/3/6, 1, 2, 31, 3, 
2020/3/7, 1, 6, 32, 8, 
2020/3/8, 1, 6, 32, 11, 
2020/3/9, 1, 3, 27, 6, 
2020/3/10, 1, 3, 26, 6, 
2020/3/11, 1, 4, 23, 6, 
2020/3/12, 1, 6, 25, 6, 
2020/3/13, 1, 6, 31, 7, 
2020/3/14, 1, 8, 25, 11, 
2020/3/15, 2, 9, 29, 12, 
2020/3/16, 2, 11, 30, 16, 
2020/3/17, 2, 12, 31, 12, 
2020/3/18, 2, 18, 32, 16, 
2020/3/19, 3, 25, 34, 16, 
2020/3/20, 3, 26, 38, 12, 
2020/3/21, 3, 8, 27, 5, 
2020/3/22, 1, 7, 30, 2, 
2020/3/23, 1, 7, 31, 3, 
2020/3/24, 1, 13, 31, 5, 
2020/3/25, 2, 18, 34, 5, 
2020/3/26, 2, 18, 24, 8, 
2020/3/27, 2, 26, 28, 17, 
2020/3/28, 3, 43, 37, 14, 
2020/3/29, 3, 5, 27, 4, 
2020/3/30, 1, 8, 35, 6, 
2020/3/31, 1, 15, 33, 11, 
2020/2/2, 1, 1, 27, 3, 
2020/2/3, 1, 16, 23, 2, 
2020/2/4, 1, 12, 27, 4, 
2020/2/5, 1, 4, 25, 9, 
2020/2/6, 1, 10, 15, 19, 
2020/2/7, 3, 16, 9, 26, 1
2020/2/8, 4, 14, 14, 23, 1
2020/2/9, 4, 7, 31, 8, 
2020/2/10, 2, 5, 32, 2, 
2020/2/11, 1, 4, 31, 3, 
2020/2/12, 1, 3, 29, 4, 
2020/2/13, 1, 5, 31, 10, 
2020/2/14, 1, 3, 32, 8, 
2020/2/15, 2, 7, 20, 17, 
2020/2/16, 3, 5, 28, 9, 
2020/2/17, 1, 5, 36, 6, 
2020/2/18, 1, 3, 29, 6, 
2020/2/19, 1, 3, 27, 4, 
2020/2/20, 1, 4, 24, 8, 
2020/2/21, 1, 5, 27, 10, 
2020/2/22, 1, 7, 22, 16, 
2020/2/23, 2, 4, 29, 6, 
2020/2/24, 1, 4, 25, 4, 
2020/2/25, 1, 6, 31, 7, 
2020/2/26, 1, 2, 31, 4, 
2020/2/27, 1, 3, 29, 6, 
2020/2/28, 1, 5, 30, 7, 
2020/2/29, 1, 8, 32, 8, 
2020/3/1, 1, 1, 34, 2, 
2020/1/2, 3, 19, 5, 18, 
2020/1/3, 3, 14, 10, , 
2020/1/4, 3, 5, 22, , 
2020/1/5, 1, 7, 23, 15, 
2020/1/6, 2, 16, 6, 18, 
2020/1/7, 4, 12, 11, 19, 1
2020/1/8, 3, 15, 4, 22, 1
2020/1/9, 4, 11, 9, 23, 1
2020/1/10, 3, 4, 28, 7, 
2020/1/11, 1, 7, 18, 14, 
2020/1/12, 2, 14, 11, 16, 
2020/1/13, 3, 19, 6, 22, 1
2020/1/14, 4, 11, 17, 21, 1
2020/1/15, 3, 8, 27, 16, 1
2020/1/16, 2, 11, 18, 19, 1
2020/1/17, 3, 10, 21, 18, 1
2020/1/18, 3, 4, 25, 8, 
2020/1/19, 1, 5, 23, 10, 
2020/1/20, 1, 10, 21, 7, 
2020/1/21, 1, 17, 13, 15, 
2020/1/22, 3, 25, 3, 19, 
2020/1/23, 4, 17, 3, 18, 
2020/1/24, 4, 27, 2, 22, 
2020/1/25, 5, 29, 1, 21, 1
2020/1/26, 7, 22, 3, 19, 1
2020/1/27, 5, 19, 20, 15, 
2020/1/28, 2, 4, 31, 5, 
2020/1/29, 1, 2, 31, 7, 
2020/1/30, 1, 4, 25, 10, 
2020/1/31, 1, 5, 20, 12, 
2020/2/1, 2, 4, 22, 7, 
2019/10/1, 2, 3, 26, 4, 
2019/10/2, 1, 7, 23, 12, 
2019/10/3, 2, 7, 21, 11, 
2019/10/4, 2, 4, 22, 4, 
2019/10/5, 1, 7, 24, 5, 
2019/10/6, 1, 6, 25, 8, 
2019/10/7, 1, 7, 15, 8, 
2019/10/8, 1, 4, 24, 7, 
2019/10/9, 1, 4, 24, 4, 
2019/10/10, 1, 11, 19, 12, 
2019/10/11, 2, 11, 22, 11, 
2019/10/12, 2, 10, 21, 9, 
2019/10/13, 2, 20, 20, 16, 
2019/10/14, 3, 13, 29, 11, 
2019/10/15, 2, 5, 25, 8, 
2019/10/16, 1, 9, 25, 10, 
2019/10/17, 2, 10, 21, 12, 
2019/10/18, 2, 6, 17, 7, 
2019/10/19, 2, 16, 6, 8, 
2019/10/20, 3, 15, 15, 13, 
2019/10/21, 3, 16, 9, 11, 
2019/10/22, 2, 25, 6, 11, 
2019/10/23, 3, 22, 17, 13, 
2019/10/24, 3, 14, 22, 15, 
2019/10/25, 2, 18, 9, 15, 
2019/10/26, 3, 16, 22, 11, 
2019/10/28, 3, 13, 6, 13, 
2019/10/29, 2, 8, 9, 10, 
2019/10/30, 2, 9, 11, 10, 
2019/10/31, 1, 12, 5, 9, 
2019/11/1, 2, 16, 15, 10, 
2019/11/2, 3, 5, 19, 6, 
2019/11/3, 1, 3, 24, 4, 
2019/11/4, 1, 3, 24, 5, 
2019/11/5, 1, 4, 22, 8, 
2019/11/6, 1, 3, 22, 6, 
2019/11/7, 1, 5, 21, 9, 
2019/11/8, 1, 4, 20, 11, 
2019/11/9, 3, 13, 15, 13, 
2019/11/10, 2, 17, 9, 13, 
2019/11/11, 3, 15, 12, 9, 
2019/11/12, 2, 7, 23, 11, 
2019/11/13, 2, 9, 21, 17, 
2019/11/14, 2, 14, 5, 20, 
2019/11/15, 3, 12, 12, 16, 
2019/11/16, 3, 22, 10, 15, 
2019/11/17, 4, 14, 8, 11, 
2019/11/18, 2, 5, 22, 10, 
2019/11/19, 1, 15, 9, 20, 
2019/11/20, 3, 19, 8, 12, 
2019/11/21, 2, 22, 14, 11, 
2019/11/22, 2, 22, 9, 11, 
2019/11/23, 2, 16, 2, 18, 
2019/11/24, 5, 17, 4, 18, 
2019/11/25, 5, 18, 9, 13, 
2019/11/26, 3, 29, 2, 15, 
2019/11/27, 5, 10, 23, 10, 
2019/11/28, 2, 2, 27, 3, 
2019/11/29, 1, 3, 25, 6, 
2019/11/30, 1, 9, 23, 7, 
2019/12/1, 1, 14, 10, 12, 
2019/12/2, 2, 16, 17, 11, 
2019/12/3, 2, 17, 14, 15, 
2019/12/4, 2, 22, 7, 20, 
2019/12/5, 3, 23, 6, 15, 
2019/12/6, 2, 20, 5, 18, 
2019/12/7, 3, 10, 20, 14, 
2019/12/8, 3, 8, 26, 8, 
2019/12/9, 2, 3, 29, 3, 
2019/12/10, 1, 7, 21, 14, 
2019/12/11, 1, 11, 18, 20, 
2019/12/12, 2, 4, 23, 12, 
2019/12/13, 1, 4, 32, 9, 
2019/12/14, 1, 3, 32, 3, 
2019/12/15, 1, 3, 25, 6, 
2019/12/16, 2, 15, 4, 23, 
2019/12/17, 5, 33, 1, 23, 1
2019/12/18, 8, 19, 1, 23, 1
2019/12/19, 8, 24, 1, 21, 
2019/12/20, 8, 13, 24, 17, 
2019/12/21, 5, 4, 24, 10, 
2019/12/22, 2, 5, 26, 6, 
2019/12/23, 1, 1, 27, 3, 
2019/12/24, 1, 2, 24, 5, 
2019/12/25, 1, 3, 28, 4, 
2019/12/26, 1, 5, 18, 6, 
2019/12/27, 1, 3, 25, 8, 
2019/12/28, 1, 9, 13, 9, 
2019/12/29, 1, 13, 11, 10, 
2019/12/30, 3, , , , 
2019/7/1, 2, 15, 49, 6, 
2019/7/2, 2, 15, 52, 6, 
2019/7/3, 2, 16, 63, 8, 
2019/7/4, 2, 23, 66, 13, 
2019/7/5, 2, 21, 49, 11, 
2019/7/6, 2, 10, 47, 4, 
2019/7/7, 1, 14, 34, 6, 
2019/7/8, 1, 13, 44, 5, 
2019/7/9, 1, 11, 45, 6, 
2019/7/10, 8, 14, 31, 14, 
2019/7/11, 3, 13, 35, 11, 
2019/7/12, 2, 6, 37, 3, 
2019/7/13, 1, 8, 37, 4, 
2019/7/14, 1, 10, 37, 6, 
2019/7/15, 1, 13, 51, 8, 
2019/7/16, 1, 13, 52, 10, 
2019/7/17, 2, 17, 57, 12, 
2019/7/18, 2, 20, 53, 7, 
2019/7/19, 2, 18, 47, 7, 
2019/7/20, 2, 13, 38, 4, 
2019/7/21, 2, 14, 53, 9, 
2019/7/22, 2, 18, 61, 9, 
2019/7/23, 2, 23, 70, 11, 
2019/7/24, 3, 27, 79, 13, 
2019/7/25, 3, 22, 70, 6, 
2019/7/26, 2, 7, 53, 2, 
2019/7/27, 1, 4, 26, 2, 
2019/7/28, 1, 6, 34, 3, 
2019/7/29, 1, 9, 44, 4, 
2019/7/30, 1, 8, 33, 3, 
2019/7/31, 1, 11, 42, 5, 
2019/8/1, 1, 15, 35, 5, 
2019/8/2, 1, 8, 43, 5, 
2019/8/3, 1, 10, 50, 5, 
2019/8/4, 1, 13, 53, 7, 
2019/8/5, 2, 12, 37, 6, 
2019/8/6, 1, 9, 32, 5, 
2019/8/7, 1, 9, 39, 7, 
2019/8/8, 2, 13, 40, 10, 
2019/8/9, 2, 5, 28, 3, 
2019/8/10, 1, 7, 34, 4, 
2019/8/11, 1, 5, 24, 5, 
2019/8/12, 1, 6, 32, 6, 
2019/8/13, 1, 9, 38, 9, 
2019/8/14, 1, 9, 25, 9, 
2019/8/15, 1, 8, 35, 7, 
2019/8/16, 1, 11, 32, 7, 
2019/8/17, 2, 11, 42, 7, 
2019/8/18, 2, 4, 31, 4, 
2019/8/19, 1, 7, 29, 8, 
2019/8/20, 2, 6, 33, 4, 
2019/8/21, 1, 15, 17, 8, 
2019/8/22, 2, 16, 25, 10, 
2019/8/23, 2, 22, 36, 9, 
2019/8/24, 3, 17, 44, 9, 
2019/8/25, 2, 17, 50, 11, 
2019/8/26, 2, 20, 53, 11, 
2019/8/27, 3, 19, 53, 10, 
2019/8/28, 2, 10, 38, 6, 
2019/8/29, 1, 16, 46, 9, 
2019/8/30, 2, 18, 43, 10, 
2019/8/31, 2, 9, 35, 4, 
2019/9/1, 1, 10, 25, 6, 
2019/9/2, 1, 15, 37, 10, 
2019/9/3, 2, 16, 41, 13, 
2019/9/4, 2, 27, 19, 10, 
2019/9/5, 1, 11, 19, 7, 
2019/9/6, 1, 11, 31, 4, 
2019/9/7, 1, 3, 25, 4, 
2019/9/8, 1, 5, 31, 6, 
2019/9/9, 1, 8, 29, 10, 
2019/9/10, 1, 13, 32, 11, 
2019/9/11, 2, 15, 38, 15, 
2019/9/12, 2, 16, 36, 17, 
2019/9/13, 3, 13, 36, 8, 
2019/9/14, 2, 17, 34, 11, 
2019/9/15, 3, 15, 40, 10, 
2019/9/16, 2, 14, 31, 12, 
2019/9/17, 2, 14, 31, 4, 
2019/9/18, 1, 13, 30, 6, 
2019/9/19, 1, 14, 26, 8, 
2019/9/20, 1, 18, 27, 12, 
2019/9/21, 3, 19, 35, 11, 
2019/9/22, 3, 4, 28, 5, 
2019/9/23, 1, 11, 10, 10, 
2019/9/24, 2, 5, 24, 5, 
2019/9/25, 1, 4, 17, 7, 
2019/9/26, 1, 8, 24, 6, 
2019/9/27, 1, 5, 28, 4, 
2019/9/28, 1, 7, 33, 5, 
2019/9/29, 1, 9, 26, 6, 
2019/9/30, 1, 9, 30, 9, 
2019/4/1, 3, 30, 34, 14, 
2019/4/2, 3, 9, 37, 6, 
2019/4/3, 1, 5, 26, 13, 
2019/4/4, 1, 7, 34, 11, 
2019/4/5, 1, 17, 27, 17, 
2019/4/6, 4, 11, 34, 10, 
2019/4/7, 2, 6, 34, 7, 
2019/4/8, 1, 11, 33, 12, 
2019/4/9, 2, 21, 20, 14, 
2019/4/10, 3, 39, 23, 10, 
2019/4/11, 3, 34, 33, 10, 
2019/4/12, 3, 31, 27, 10, 
2019/4/13, 3, 18, 18, 10, 
2019/4/14, 2, 24, 32, 12, 
2019/4/15, 3, 19, 39, 13, 
2019/4/16, 3, 11, 40, 9, 
2019/4/17, 1, 19, 48, 14, 
2019/4/18, 2, 15, 56, 10, 
2019/4/19, 2, 12, 53, 9, 
2019/4/20, 2, 12, 44, 8, 
2019/4/21, 2, 18, 43, 10, 
2019/4/22, 2, 23, 41, 12, 
2019/4/23, 2, 16, 39, 15, 
2019/4/24, 1, 10, 39, 8, 
2019/4/25, 1, 3, 34, 7, 
2019/4/26, 1, 4, 35, 5, 
2019/4/27, 1, 2, 35, 3, 
2019/4/28, 1, 8, 25, 9, 
2019/4/29, 1, 12, 20, 11, 
2019/4/30, 2, 22, 43, 11, 
2019/5/1, 2, 20, 38, 13, 
2019/5/2, 2, 5, 27, 6, 
2019/5/3, 1, 10, 30, 6, 
2019/5/4, 1, 7, 31, 6, 
2019/5/5, 1, 9, 30, 11, 
2019/5/6, 2, 9, 40, 10, 
2019/5/7, 2, 10, 40, 17, 
2019/5/8, 3, 3, 32, 4, 
2019/5/9, 1, 3, 31, 7, 
2019/5/10, 1, 4, 32, 5, 
2019/5/11, 1, 8, 38, 4, 
2019/5/12, 1, 10, 35, 5, 
2019/5/13, 1, 11, 41, 5, 
2019/5/14, 1, 11, 32, 5, 
2019/5/15, 1, 16, 27, 8, 
2019/5/16, 2, 19, 41, 10, 
2019/5/17, 2, 13, 39, 8, 
2019/5/18, 2, 5, 40, 4, 
2019/5/19, 1, 4, 26, 7, 
2019/5/20, 1, 9, 29, 7, 
2019/5/21, 1, 10, 43, 6, 
2019/5/22, 1, 11, 49, 10, 
2019/5/23, 1, 14, 49, 14, 
2019/5/24, 2, 12, 40, 8, 
2019/5/25, 2, 12, 45, 6, 
2019/5/26, 2, 11, 37, 9, 
2019/5/27, 2, 5, 26, 4, 
2019/5/28, 1, 5, 30, 6, 
2019/5/29, 1, 9, 43, 7, 
2019/5/30, 1, 7, 36, 6, 
2019/5/31, 1, 8, 38, 7, 
2019/6/1, 1, 10, 48, 8, 
2019/6/2, 1, 14, 44, 6, 
2019/6/3, 1, 16, 50, 9, 
2019/6/4, 2, 18, 55, 9, 
2019/6/5, 2, 12, 28, 5, 
2019/6/6, 1, 17, 39, 5, 
2019/6/7, 1, 6, 41, 3, 
2019/6/8, 1, 9, 25, 8, 
2019/6/9, 2, 10, 36, 6, 
2019/6/10, 1, 11, 35, 7, 
2019/6/11, 1, 8, 34, 5, 
2019/6/12, 1, 8, 44, 6, 
2019/6/13, 1, 17, 49, 8, 
2019/6/14, 2, 10, 41, 4, 1
2019/6/15, 1, 4, 37, 2, 
2019/6/16, 1, 12, 45, 6, 
2019/6/17, 1, 15, 48, 9, 
2019/6/18, 2, 13, 52, 6, 
2019/6/19, 1, 8, 36, 6, 
2019/6/20, 1, 9, 31, 7, 
2019/6/21, 1, 11, 29, 6, 
2019/6/22, 2, 6, 39, 3, 
2019/6/23, 1, 11, 46, 8, 
2019/6/24, 2, 21, 71, 9, 
2019/6/25, 3, 38, 61, 10, 
2019/6/26, 3, 47, 75, 11, 
2019/6/27, 3, 16, 62, 6, 
2019/6/28, 1, 13, 65, 6, 
2019/6/29, 2, 24, 65, 8, 
2019/6/30, 2, 24, 51, 6, 
2019/1/2, 1, 6, 26, 8, 
2019/1/3, 1, 10, 16, 20, 1
2019/1/4, 2, 13, 16, 18, 1
2019/1/5, 2, 12, 18, 12, 
2019/1/6, 2, 6, 14, 8, 
2019/1/7, 1, 10, 11, 13, 
2019/1/8, 2, 7, 20, 7, 
2019/1/9, 1, 4, 23, 11, 
2019/1/10, 1, 10, 11, 19, 
2019/1/11, 2, 11, 15, 14, 
2019/1/12, 1, 11, 22, 10, 
2019/1/13, 1, 1, 24, 4, 
2019/1/14, 1, 3, 24, 9, 
2019/1/15, 1, 7, 20, 17, 
2019/1/16, 2, 10, 18, 19, 1
2019/1/17, 2, 6, 26, 7, 
2019/1/18, 1, 7, 24, 12, 
2019/1/19, 1, 16, 17, 19, 
2019/1/20, 3, 30, 4, 23, 1
2019/1/21, 5, 36, 5, 20, 1
2019/1/22, 6, 32, 12, 20, 
2019/1/23, 4, 28, 14, 17, 
2019/1/24, 3, 31, 13, 15, 
2019/1/25, 3, 25, 18, 16, 
2019/1/26, 2, 11, 24, 12, 
2019/1/27, 2, 6, 27, 8, 
2019/1/28, 1, 4, 27, 6, 
2019/1/29, 1, 8, 25, 14, 
2019/1/30, 1, 7, 29, 11, 
2019/1/31, 1, 6, 24, 15, 
2019/2/1, 1, 18, 9, 27, 1
2019/2/2, 4, 19, 8, 21, 
2019/2/3, 4, 11, 17, 14, 
2019/2/4, 2, 17, 16, 16, 
2019/2/5, 2, 30, 7, 25, 
2019/2/6, 3, 32, 9, 29, 1
2019/2/7, 4, 20, 19, 20, 
2019/2/8, 2, 10, 24, 18, 
2019/2/9, 2, 6, 29, 9, 
2019/2/10, 1, 5, 33, 8, 
2019/2/11, 1, 3, 31, 7, 
2019/2/12, 1, 9, 24, 14, 
2019/2/13, 1, 18, 13, 23, 1
2019/2/14, 4, 29, 7, 30, 2
2019/2/15, 6, 31, 8, 29, 2
2019/2/16, 5, 19, 20, 23, 1
2019/2/17, 4, 12, 18, 25, 1
2019/2/18, 3, 17, 18, 28, 2
2019/2/19, 3, 19, 23, 21, 1
2019/2/20, 2, 24, 22, 24, 1
2019/2/21, 3, 30, 20, 25, 1
2019/2/22, 3, 29, 23, 17, 1
2019/2/23, 3, 14, 27, 7, 
2019/2/24, 2, 11, 22, 12, 
2019/2/25, 2, 18, 18, 20, 1
2019/2/26, 3, 25, 14, 23, 1
2019/2/27, 4, 28, 15, 27, 1
2019/2/28, 4, 25, 36, 14, 
2019/3/1, 2, 5, 33, 6, 
2019/3/2, 1, 10, 26, 7, 
2019/3/3, 1, 5, 33, 5, 
2019/3/4, 1, 5, 36, 6, 
2019/3/5, 1, 4, 34, 5, 
2019/3/6, 1, 13, 22, 22, 1
2019/3/7, 4, 7, 34, 13, 
2019/3/8, 2, 3, 30, 7, 
2019/3/9, 1, 4, 30, 5, 
2019/3/10, 1, 3, 30, 3, 
2019/3/11, 1, 7, 35, 6, 
2019/3/12, 1, 7, 31, 10, 
2019/3/13, 1, 4, 35, 5, 
2019/3/14, 1, 3, 31, 4, 
2019/3/15, 1, 2, 29, 5, 
2019/3/16, 1, 3, 31, 4, 
2019/3/17, 1, 4, 35, 6, 
2019/3/18, 1, 3, 34, 6, 
2019/3/19, 1, 11, 31, 18, 
2019/3/20, 2, 14, 33, 14, 
2019/3/21, 2, 17, 33, 14, 
2019/3/22, 2, 26, 30, 23, 1
2019/3/23, 3, 21, 43, 22, 1
2019/3/24, 3, 29, 44, 18, 1
2019/3/25, 4, 25, 33, 10, 
2019/3/26, 1, 7, 33, 9, 
2019/3/27, 1, 15, 29, 13, 
2019/3/28, 1, 13, 32, 9, 
2019/3/29, 1, 19, 26, 13, 
2019/3/30, 2, 20, 34, 18, 1
2019/3/31, 3, 20, 37, 15, 
2018/10/1, 2, 10, 25, 10, 
2018/10/2, 1, 13, 21, 15, 
2018/10/3, 2, 13, 22, 13, 
2018/10/4, 2, 20, 20, 20, 
2018/10/5, 4, 15, 28, 16, 
2018/10/6, 4, 15, 36, 12, 
2018/10/7, 3, 21, 16, 13, 
2018/10/8, 3, 26, 19, 14, 
2018/10/9, 4, 26, 14, 13, 
2018/10/10, 4, 23, 12, 17, 
2018/10/11, 5, 21, 19, 19, 
2018/10/12, 5, 17, 25, 17, 
2018/10/13, 5, 16, 22, 18, 
2018/10/14, 4, 20, 25, 23, 
2018/10/15, 4, 29, 23, 27, 
2018/10/16, 5, 30, 25, 25, 
2018/10/17, 5, 34, 31, 21, 
2018/10/18, 5, 46, 21, 16, 
2018/10/19, 5, 51, 28, 16, 
2018/10/20, 6, 38, 24, 10, 
2018/10/21, 5, 18, 21, 15, 
