date, pm25, pm10, o3, no2, so2, co
2020/3/12, 149, 139, 6, 17, 6, 18
2020/3/13, 155, 165, 1, 21, 7, 19
2020/3/14, 163, 81, 1, 22, 5, 16
2020/3/15, 129, 107, 2, 23, , 16
2020/3/16, 158, 109, 2, 20, , 16
2020/3/17, 141, 129, 1, 20, , 17
2020/3/18, 154, 121, 3, 21, , 16
2020/3/19, 150, 169, 1, 20, , 20
2020/3/20, 194, 171, 1, 21, , 24
2020/3/21, 175, 153, 1, 20, , 23
2020/3/22, 173, 137, 2, 16, , 27
2020/3/23, 180, 85, 1, 16, , 23
2020/3/24, 137, 76, 2, 15, , 24
2020/3/25, 135, 62, 2, 16, , 37
2020/3/26, 114, , , , , 
2020/3/29, 73, 53, 2, 15, 18, 13
2020/3/30, 100, 57, 1, 16, 6, 13
2020/3/31, 99, 62, 2, 16, 6, 14
2020/2/2, 201, 162, 2, 20, 4, 19
2020/2/3, 219, 233, 2, 24, 4, 20
2020/2/4, 247, 309, 3, 28, 4, 25
2020/2/5, 286, 197, 3, 24, 3, 18
2020/2/6, 237, 155, 3, 23, 4, 18
2020/2/7, 214, 167, 3, 26, 4, 19
2020/2/8, 214, 155, 2, 25, 3, 18
2020/2/9, 234, 179, 2, 25, 3, 20
2020/2/10, 249, 236, 3, 26, 4, 19
2020/2/11, 266, 255, 2, 27, 4, 21
2020/2/12, 258, 205, 4, 29, 3, 12
2020/2/13, 252, 136, 2, 27, 3, 11
2020/2/14, 182, 143, 2, 25, 3, 10
2020/2/15, 166, 126, 2, 26, 3, 10
2020/2/16, 173, 172, 2, 29, 3, 14
2020/2/17, 236, 217, 3, 30, 4, 16
2020/2/18, 257, 165, 2, 32, 3, 13
2020/2/19, 204, 162, 31, 40, 4, 11
2020/2/20, 179, 189, 25, 32, 4, 8
2020/2/21, 188, 80, 10, 25, 3, 6
2020/2/22, 136, 101, 11, 26, 4, 10
2020/2/23, 155, 122, 11, 27, 4, 9
2020/2/24, 181, 116, 12, 30, 4, 9
2020/2/25, 166, 157, 11, 35, 6, 20
2020/2/26, 217, 222, 5, 35, 9, 24
2020/2/27, 257, 210, 6, 29, 6, 21
2020/2/28, 200, 145, 4, 23, 6, 17
2020/2/29, 174, 122, 2, 22, 5, 16
2020/3/1, 154, 106, 4, 27, 6, 18
2020/1/2, 444, 482, 4, 14, 9, 27
2020/1/3, 419, 377, 3, 12, 8, 25
2020/1/4, 355, 245, 4, 14, 4, 21
2020/1/5, 286, 204, 4, 12, 4, 16
2020/1/6, 272, 197, 3, 10, 4, 17
2020/1/7, 250, 180, 7, 9, 5, 19
2020/1/8, 229, 108, 3, 6, 4, 16
2020/1/9, 207, 102, 5, 4, 3, 13
2020/1/10, 182, 153, 6, 6, 4, 17
2020/1/11, 214, 200, 7, 8, 4, 20
2020/1/12, 246, 301, 7, 8, 5, 23
2020/1/13, 309, 262, 7, 6, 4, 24
2020/1/14, 318, 115, 4, 4, 4, 16
2020/1/15, 197, 121, 4, 5, 4, 17
2020/1/16, 195, 134, 2, 5, 4, 18
2020/1/17, 232, 112, 2, 3, 4, 19
2020/1/18, 203, 131, 2, 3, 4, 19
2020/1/19, 208, 131, 2, 4, 4, 17
2020/1/20, 215, 178, 3, 6, 4, 19
2020/1/21, 244, 324, 5, 14, 5, 28
2020/1/22, 353, 206, 3, 13, 4, 24
2020/1/23, 287, 112, 2, 14, 4, 16
2020/1/24, 165, 122, 2, 17, 4, 17
2020/1/25, 176, 188, 2, 20, 4, 21
2020/1/26, 239, 263, 3, 18, 4, 23
2020/1/27, 322, 280, 3, 18, 4, 31
2020/1/28, 333, 164, 2, 13, 4, 19
2020/1/29, 201, 136, 3, 16, 4, 16
2020/1/30, 173, 139, 3, 20, 4, 17
2020/1/31, 184, 144, 2, 20, 4, 19
2020/2/1, 191, 168, 2, 20, 4, 18
2019/10/1, 120, 83, 17, 12, 5, 8
2019/10/2, 113, 151, 31, 15, 6, 9
2019/10/3, 154, 85, 14, 15, 5, 7
2019/10/4, 133, 88, 16, 17, 5, 8
2019/10/5, 119, 102, 18, 16, 5, 8
2019/10/6, 146, 106, 12, 17, 3, 7
2019/10/7, 143, 92, 19, 16, 6, 7
2019/10/8, 122, 142, 63, 18, 6, 11
2019/10/9, 160, 177, 46, 27, 8, 12
2019/10/10, 190, 136, 39, 19, 6, 11
2019/10/11, 172, 156, 23, 22, 6, 13
